"id","familieID","danskArt","latinArt","engelskArt","artSort"
"1","2059","Grå Tinamu","tao ","Grey Tinamou","20"
"2","2059","Olivengrå Tinamu","solitarius ","Solitary Tinamou","30"
"3","2059","Gråsort Tinamu","osgoodi ","Black Tinamou","40"
"4","2059","Stor Tinamu","major ","Great Tinamou","50"
"5","2059","Gråisset Tinamu","guttatus ","White-throated Tinamou","60"
"6","1352","Bjergskovstinamu","bonapartei ","Highland Tinamou","70"
"7","1352","Rødhovedet Tinamu","julius ","Tawny-breasted Tinamou","80"
"8","1352","Hætte Tinamu","nigrocapillus ","Hooded Tinamou","90"
"9","528","Sort Tinamu","berlepschi ","Berlepsch's Tinamou","100"
"10","528","Asketinamu","cinereus ","Cinereous Tinamou","110"
"11","528","Lille Tinamu","soui ","Little Tinamou","120"
"12","528","Tepuítinamu","ptaritepui ","Tepui Tinamou","130"
"13","528","Brun Tinamu","obsoletus ","Brown Tinamou","140"
"14","528","Traylors Tinamu","obsoletus traylori","Traylor's Tinamou","150"
"15","528","Bølgetinamu","undulatus ","Undulated Tinamou","160"
"16","528","Lysbrynet Tinamu","transfasciatus ","Pale-browed Tinamou","170"
"17","528","Brasiliansk Tinamu","strigulosus ","Brazilian Tinamou","180"
"18","528","Gråbenet Tinamu","duidae ","Grey-legged Tinamou","190"
"19","528","Rødbenet Tinamu","erythropus ","Red-legged Tinamou","200"
"20","528","Colombiansk Tinamu","erythropus columbianus","Colombian Tinamou","210"
"21","528","Santa Marta Tinamu","erythropus idoneus","Santa Marta Tinamou","220"
"22","528","Magdalenatinamu","saltuarius ","Magdalena Tinamou","230"
"23","528","Gulbenet Tinamu","noctivagus ","Yellow-legged Tinamou","240"
"24","528","Sodkronet Tinamu","atrocapillus ","Black-capped Tinamou","250"
"25","528","Garlepps Tinamu","atrocapillus garleppi","Garlepp's Tinamou","260"
"26","528","Krattinamu","cinnamomeus ","Thicket Tinamou","270"
"27","528","Gråbrystet Tinamu","boucardi ","Slaty-breasted Tinamou","280"
"28","528","Chocótinamu","kerriae ","Choco Tinamou","290"
"29","528","Sorthovedet Tinamu","variegatus ","Variegated Tinamou","300"
"30","528","Rustfarvet Tinamu","brevirostris ","Rusty Tinamou","310"
"31","528","Bartletts Tinamu","bartletti ","Bartlett's Tinamou","320"
"32","528","Kortnæbbet Tinamu","parvirostris ","Small-billed Tinamou","330"
"33","528","Båndtinamu","casiquiare ","Barred Tinamou","340"
"34","528","Tataupatinamu","tataupa ","Tataupa Tinamou","350"
"35","1815","Pampashøne","rufescens ","Red-winged Tinamou","360"
"36","1815","Huaycotinamu","maculicollis ","Huayco Tinamou","370"
"37","1354","Stor Bjergtinamu","taczanowskii ","Taczanowski's Tinamou","380"
"38","1354","Bjergtinamu","ornata ","Ornate Tinamou","390"
"39","1354","Chiletinamu","perdicaria ","Chilean Tinamou","400"
"40","1354","Mørkvinget Tinamu","cinerascens ","Brushland Tinamou","410"
"41","1354","Andestinamu","pentlandii ","Andean Tinamou","420"
"42","1354","Seglnæbbet Tinamu","curvirostris ","Curve-billed Tinamou","430"
"43","1355","Hvidbuget Vagteltinamu","boraquira ","White-bellied Nothura","440"
"44","1355","Vagteltinamu","minor ","Lesser Nothura","450"
"45","1355","Andesvagteltinamu","darwinii ","Darwin's Nothura","460"
"46","1355","Plettet Vagteltinamu","maculosa ","Spotted Nothura","470"
"47","1355","Chacovagteltinamu","chacoensis ","Chaco Nothura","480"
"48","1998","Dværgtinamu","nanus ","Dwarf Tinamou","490"
"49","695","Toptinamu","elegans ","Elegant Crested Tinamou","500"
"50","695","Quebracho-toptinamu","formosa ","Quebracho Crested Tinamou","510"
"51","2058","Punatinamu","pentlandii ","Puna Tinamou","520"
"52","2058","Patagonsk Tinamu","ingoufi ","Patagonian Tinamou","530"
"53","1961","Masaistruds","camelus ","Common Ostrich","550"
"54","1961","Somalistruds","molybdophanes ","Somali Ostrich","560"
"55","1786","Nandu","americana ","Greater Rhea","580"
"56","1716","Lille Nandu","pennata ","Darwin's Rhea","590"
"57","1716","Punanandu","pennata tarapacensis","Puna Rhea","600"
"58","310","Hjelmkasuar","casuarius ","Southern Cassowary","620"
"59","310","Dværgkasuar","bennetti ","Dwarf Cassowary","630"
"60","310","Nordlig Kasuar","unappendiculatus ","Northern Cassowary","640"
"61","621","Emu","novaehollandiae ","Emu","660"
"62","621","Sort Emu","ater ","King Island Emu","670"
"63","621","Kangaroo Emu","baudinianus ","Kangaroo Island Emu","680"
"64","142","Brun Kiwi","australis ","Southern Brown Kiwi","700"
"65","142","Nordlig Kiwi","mantelli ","North Island Brown Kiwi","710"
"66","142","Okarito Kiwi","rowi ","Okarito Kiwi","720"
"67","142","Dværgkiwi","owenii ","Little Spotted Kiwi","730"
"68","142","Stor Kiwi","haastii ","Great Spotted Kiwi","740"
"69","142","Vestkyst-kiwi","occidentalis Megapodiidae","West Coast Spotted Kiwi","750"
"70","60","Kratkalkun","lathami ","Australian Brushturkey","770"
"71","32","Kamtallegalla","arfakianus ","Wattled Brushturkey","780"
"72","32","Waigeutallegalla","bruijnii ","Waigeo Brushturkey","790"
"73","1994","Rødnæbbet Tallegalla","cuvieri ","Red-billed Brushturkey","800"
"74","1994","Sortnæbbet Tallegalla","fuscirostris ","Black-billed Brushturkey","810"
"75","1994","Brunhalset Tallegalla","jobiensis ","Collared Brushturkey","820"
"76","1021","Malleehøne","ocellata ","Malleefowl","830"
"77","1109","Hammerhøne","maleo ","Maleo","840"
"78","706","Molukbuskhøne","wallacei ","Moluccan Megapode","850"
"79","1147","Niaufooubuskhøne","pritchardii ","Tongan Megapode","860"
"80","1147","Mikronesisk Buskhøne","laperouse ","Micronesian Megapode","870"
"81","1147","Marianerbuskhøne","laperouse laperouse","Micronesian Megapode","880"
"82","1147","Palaubuskhøne","laperouse senex","Palau Megapode","890"
"83","1147","Nicobarbuskhøne","nicobariensis ","Nicobar Megapode","900"
"84","1147","Filippinsk Buskhøne","cumingii ","Philippine Megapode","910"
"85","1147","Sulabuskhøne","bernsteinii ","Sula Megapode","920"
"86","1147","Tanimbarbuskhøne","tenimberensis ","Tanimbar Megapode","930"
"87","1147","Mørk Buskhøne","freycinet ","Dusky Megapode","940"
"88","1147","Cerambuskhøne","forstenii ","Forsten's Megapode","950"
"89","1147","Papuabuskhøne","affinis ","New Guinea Scrubfowl","960"
"90","1147","Biakbuskhøne","geelvinkianus ","Biak Megapode","970"
"91","1147","Melanesisk Buskhøne","eremita ","Melanesian Megapode","980"
"92","1147","Vanuatubuskhøne","layardi ","Vanuatu Megapode","990"
"93","1147","Kæmpebuskhøne","molistructor ","Pile-buildder Megapode","1000"
"94","1147","Viti Levu-buskhøne","amissus ","Viti Levu Megapode","1010"
