"id","latinFamilie","familieSort"
"1","Abeillia","3678"
"2","Abroscopus","8493"
"3","Aburria","147"
"4","Acanthagenys","6372"
"5","Acanthidops","11634"
"6","Acanthisitta","4783"
"7","Acanthiza","6566"
"8","Acanthorhynchus","6429"
"9","Acanthornis","6491"
"10","Accipiter","1322"
"11","Aceros","4286"
"12","Achaetops","8327"
"13","Acridotheres","9294"
"14","Acritillas","8195"
"15","Acrobatornis","6056"
"16","Acrocephalus","8382"
"17","Acropternis","5791"
"18","Acryllium","177"
"19","Actenoides","4082"
"20","Actinodura","8800"
"21","Actitis","1898"
"22","Actophilornis","1825"
"23","Adelomyia","3825"
"24","Aechmophorus","831"
"25","Aechmorhynchus","1903"
"26","Aegithalos","7796"
"27","Aegithina","6806"
"28","Aegolius","3275"
"29","Aegotheles","3466"
"30","Aegypius","1217"
"31","Aenigmatolimnas","1606"
"32","Aepypodius","79"
"33","Aerodramus","3523"
"34","Aeronautes","3559"
"35","Aethia","2104"
"36","Aethopyga","10138"
"37","Afropavo","420"
"38","Afrotis","1463"
"39","Agamia","906"
"40","Agapornis","2690"
"41","Agelaioides","11111"
"42","Agelaius","11127"
"43","Agelastes","169"
"44","Agelasticus","11102"
"45","Aglaeactis","3850"
"46","Aglaiocercus","3942"
"47","Agriornis","5357"
"48","Ailuroedus","6211"
"49","Aimophila","11275"
"50","Aix","513"
"51","Alaemon","7860"
"52","Alauda","7904"
"53","Alca","2086"
"54","Alcedo","4167"
"55","Alcippe","8826"
"56","Aleadryas","6928"
"57","Alectoris","251"
"58","Alectroenas","2431"
"59","Alectrurus","5380"
"60","Alectura","77"
"61","Alethe","9587"
"62","Alisterus","2660"
"63","Alle","2083"
"64","Allenia","9226"
"65","Alopochelidon","7733"
"66","Alopochen","493"
"67","Amadina","10357"
"68","Amalocichla","7576"
"69","Amandava","10419"
"70","Amaurocichla","8404"
"71","Amaurolimnas","1575"
"72","Amaurornis","1586"
"73","Amaurospiza","11744"
"74","Amazilia","3804"
"75","Amazona","2877"
"76","Amazonetta","519"
"77","Amblycercus","11050"
"78","Amblyornis","6218"
"79","Amblyospiza","10208"
"80","Amblyramphus","11099"
"81","Ammodramus","11243"
"82","Ammomanes","7871"
"83","Ammoperdix","253"
"84","Ampeliceps","9279"
"85","Ampelioides","4955"
"86","Ampelion","4932"
"87","Amphilais","8236"
"88","Amphispiza","11260"
"89","Amytornis","6280"
"90","Anabacerthia","6072"
"91","Anabathmis","10026"
"92","Anabazenops","6097"
"93","Anairetes","5070"
"94","Anaplectes","10301"
"95","Anarhynchus","1816"
"96","Anas","582"
"97","Anastomus","845"
"98","Ancistrops","6079"
"99","Andigena","4343"
"100","Androdon","3632"
"101","Andropadus","8146"
"102","Androphobus","6609"
"103","Anhima","422"
"104","Anhinga","1067"
"105","Anisognathus","11470"
"106","Anodorhynchus","2707"
"107","Anomalospiza","10529"
"108","Anopetia","3599"
"109","Anorrhinus","4245"
"110","Anous","2063"
"111","Anser","448"
"112","Anseranas","426"
"113","Anthobaphes","10028"
"114","Anthocephala","3806"
"115","Anthochaera","6376"
"116","Anthornis","6347"
"117","Anthoscopus","7674"
"118","Anthracoceros","4272"
"119","Anthracothorax","3667"
"120","Anthreptes","10018"
"121","Anthropoides","1665"
"122","Anthus","10634"
"123","Antilophia","4872"
"124","Anumbius","6045"
"125","Anurolimnas","1507"
"126","Anurophasis","322"
"127","Apalharpactes","4005"
"128","Apalis","8041"
"129","Apaloderma","4003"
"130","Apalopteron","8994"
"131","Aphanapteryx","1554"
"132","Aphanotriccus","5274"
"133","Aphantochroa","3651"
"134","Aphelocephala","6569"
"135","Aphelocoma","7371"
"136","Aphrastura","5912"
"137","Aphriza","1908"
"138","Aphrodroma","696"
"139","Aplonis","9262"
"140","Aprosmictus","2662"
"141","Aptenodytes","635"
"142","Apteryx","75"
"143","Apus","3587"
"144","Aquila","1415"
"145","Ara","2718"
"146","Arachnoraphis","10149"
"147","Arachnothera","10148"
"148","Aramides","1574"
"149","Aramidopsis","1563"
"150","Aramus","1678"
"151","Aratinga","2755"
"152","Arborophila","351"
"153","Archboldia","6214"
"154","Archilochus","3969"
"155","Ardea","962"
"156","Ardeola","945"
"157","Ardeotis","1445"
"158","Arenaria","1907"
"159","Argusianus","417"
"160","Arremon","11307"
"161","Arremonops","11297"
"162","Arses","7298"
"163","Artamella","6751"
"164","Artamus","6801"
"165","Artisornis","8075"
"166","Arundinicola","5378"
"167","Asacornis","510"
"168","Ashbyia","6475"
"169","Asio","3318"
"170","Aspatha","4185"
"171","Asthenes","5960"
"172","Astrapia","7497"
"173","Atelornis","4072"
"174","Athene","3270"
"175","Atlantisia","1566"
"176","Atlapetes","11351"
"177","Atrichornis","6207"
"178","Attagis","1835"
"179","Atthis","3973"
"180","Atticora","7728"
"181","Attila","5481"
"182","Augastes","3944"
"183","Aulacorhynchus","4316"
"184","Auriparus","7675"
"185","Automolus","6113"
"186","Aviceda","1150"
"187","Avocettula","3668"
"188","Aythya","599"
"189","Babax","8709"
"190","Baeolophus","7659"
"191","Baeopogon","8149"
"192","Balaeniceps","996"
"193","Balearica","1663"
"194","Bambusicola","356"
"195","Bangsia","11457"
"196","Barnardius","2608"
"197","Bartramia","1885"
"198","Baryphthengus","4194"
"199","Basileuterus","11008"
"200","Basilinna","3823"
"201","Basilornis","9271"
"202","Batara","5486"
"203","Bathmocercus","8318"
"204","Batis","6659"
"205","Batrachostomus","3337"
"206","Berenicornis","4281"
"207","Berlepschia","6068"
"208","Bernieria","8406"
"209","Bias","6631"
"210","Biatas","5498"
"211","Biziura","632"
"212","Bleda","8182"
"213","Blythipicus","4711"
"214","Bocagia","6700"
"215","Boissonneaua","3846"
"216","Bolbopsittacus","2886"
"217","Bolborhynchus","2793"
"218","Bombycilla","7587"
"219","Bonasa","215"
"220","Bostrychia","878"
"221","Botaurus","915"
"222","Brachycope","10312"
"223","Brachygalba","4728"
"224","Brachypteracias","4069"
"225","Brachypteryx","9580"
"226","Brachyramphus","2094"
"227","Bradornis","9807"
"228","Bradypterus","8314"
"229","Branta","466"
"230","Brotogeris","2809"
"231","Buarremon","11313"
"232","Bubalornis","10204"
"233","Bubo","3197"
"234","Bubulcus","947"
