"id","tekst","landId","latitude","longitude"
"1","Danmark","1","55.670249","10.333328"
"2","Uden for Danmark","2",,
"3","Espergærde","1","55.990778","12.552963"
"4","Valby","1","55.661802","12.516952"
"5","Kystbanen","1","55.88852","12.530354"
"6","Helsingør","1","56.034528","12.613614"
"7","Stenholt Mølle","1","55.9673004","12.3539432"
"8","Alsønderup Enge","1","55.9817161560059","12.2185792922974"
"9","Esrum Å","1","56.072942","12.375038"
"10","Nivå","1","55.9284871412116","12.5213489532471"
"11","Rødby","1","54.694064","11.390221"
"12","Sverige","3","56.182518","14.198667"
"13","Damhussøen","1","55.6770316","12.4758739"
"14","Firenze/Toscana","4","43.783873","11.238963"
"15","Vadehavet","1","55.1073693","8.5531209"
"16","Hellebæk","1","56.064766","12.56442"
"17","København","1","55.686724","12.570072"
"18","Tisvilde/asserbo","1","56.0567817","12.0986388"
"19","Snevret","1","56.0643715","12.3686211"
"20","Lyngby Sø","1","55.7742726","12.484075"
"21","Sømosen, Ballerup","1","55.73165","12.36328"
"22","Klydesøen, Amager","1","55.5853174","12.5228049"
"23","Kongelunden","1","55.5778045654297","12.5773668289185"
"24","Blokhus","1","57.252347","9.584235"
"25","Åsnen","3","56.615461","14.764594"
"26","Ølsemagle Revle","1","55.4914093017578","12.195704460144"
"27","Gilbjerg/Gilleleje","1","56.12196","12.31056"
"28","Holløse Bredning","1","56.0384674072266","12.1274576187134"
"29","Ishøj","1","55.609447","12.358256"
"30","Sydvestpynten, Amager","1","55.5635452270508","12.5633745193481"
"31","Israel","5","32.53848","35.416037"
"32","Tunesien","6","34.913307","10.283916"
"33","Sjælland","1","55.54596","11.697906"
"34","Jylland","1","55.9396438","9.3180846"
"35","Birkerød","1","55.840337","12.42878"
"36","Humlebæk","1","55.961879","12.530546"
"37","Vejenbrød Mose","1","55.938187","12.468731"
"38","Strødam Engsø","1","55.9601754","12.262485"
"39","Danstrup Hegn","1","55.996204","12.456762"
"40","Erik's & Lene's have","1","55.991652","12.540529"
"41","Solbjerg Engsø","1","55.9948501586914","12.2532205581665"
"42","Løje Sø","1","55.7468971","12.2254459"
"43","Selsø Sø","1","55.7481505","11.9985323"
"44","Lindevej 8","1","55.991397857666","12.5516443252563"
"45","Gribskov","1","56.003422","12.31456"
"46","Rolighedsmosen","1","55.9958241300773","12.5222955340576"
"47","Tinvej 16","1","55.9941329956055","12.5290870666504"
"48","Kronborgpynten","1","56.039052","12.6212071"
"49","Usserød å","1","55.878221","12.478004"
"50","Kastellet","1","55.6913826","12.5937449"
"51","Nordsjælland","1","55.9100992","12.3047741"
"52","Højbrovej, Rågeleje","1","56.091758","12.162365"
"53","Kronprins Frederik","1","54.694064","11.390221"
"54","Stubben","1","55.719715","12.6152309"
"55","Ørnetur","3","55.691994","13.54934"
"56","Kildemosevej 17","1","55.987704","12.546377"
"57","Blåvands Huk","1","55.5587494","8.0776138"
"58","Færøerne","7","61.771373","-6.810564"
"59","Öland","3","56.48335","16.444022"
"60","Rumænien","8","44.987479","29.116698"
"61","Rom-tur","4","41.924548","12.480373"
"62","Kelleris Planteskole","1","55.982165","12.519429"
"63","Helsingørhallen","1","56.046464","12.586748"
"64","Egebæksvang","1","56.00107","12.560709"
"65","Istanbul","9","41.022593","29.037367"
"66","Nielstrup Sø","1","55.07672","10.5134146"
"67","Stege Jordbassiner","1","54.9863794","12.2861344"
"68","Nyord","1","55.047237","12.206497"
"69","Ålebæk Strand","1","55.568345","10.124427"
"70","Bødkermosen","1","54.96233","12.535849"
"71","New Jersey","10","38.937528","-74.951731"
"72","Finland","11","63.450216","22.631463"
"73","Østerport","1","55.6931925","12.5884166"
"74","Seattletur","10","47.491037","-122.056747"
"75","Pyrenæerne","12","63.450216","22.631463"
"76","Tyrkiet","9","38.779206","40.186139"
"77","Spanien","12","39.225436","-3.740859"
"78","Mallorca","12","39.672381","2.985782"
"79","Bulgarien","13","42.733569","27.786076"
"80","Falsterbo","3","55.383559","12.815903"
"81","Skallingen","1","55.5118653","8.2460428"
"82","Utterslev Mose","1","55.713522","12.494931"
"83","Københavns nordhavn","1","55.7049724","12.5910174"
"84","Gundsømagle Sø","1","55.7268829345703","12.1995849609375"
"85","søborg mose","1","56.0723012","12.3101849"
"86","Kystens Perle","1","56.0109325","12.5936777"
"87","Gurre Sø","1","56.0316921","12.4849985"
"88","Værneengene","1","55.8265459","8.2145138"
"89","Holtum Å","1","55.989912","9.306366"
"90","Karup Å","1","56.235226","9.1999"
"91","Nr. Nissum Fjord","1","56.36652","8.17491"
"92","Roskilde","1","55.643348","12.081925"
"93","Skudehavnen","1","56.192522","10.670024"
"94","Hvedholm ","1","55.1052987","10.1913226"
"95","Tårbæk","1","55.783131","12.592924"
"96","Sorø","1","55.436582","11.562936"
"97","Skagen","1","57.72597","10.58446"
"98","Tinninge Banke","1","55.5240478515625","11.363712310791"
"99","Esrum sø","1","56.0008507","12.3792725"
"100","Køge Sydstrand","1","55.447962","12.1981189"
"101","La Gomera-tur","14","28.099501","-17.2182"
"102","Los Christianos","14","28.042549","-16.702529"
"103","Tenerife","14","28.230255","-16.720382"
"104","Favrholm","1","55.9082432","12.285669"
"105","Oles Altan","1","55.990271","12.542838"
"106","Kvistgård Trælast","1","55.9940948486328","12.504433631897"
"107","Søndermark kirkegård","1","55.670973","12.509304"
"108","Nybo Planteskole","1","55.925699","12.461601"
"109","Prøvestenscentret","1","56.0202407836914","12.5714750289917"
"110","Ribe","1","55.328404","8.764784"
"111","Ballum Sluse","1","55.130796","8.685797"
"112","Margrethekog","1","54.956111","8.702631"
"113","Rudbøl Kog","1","54.9020576477051","8.75162315368652"
"114","Rømødæmningen","1","55.146712","8.61757"
"115","Esrum kloster","1","56.047558","12.37791"
"116","Rungsted","1","55.88852","12.530354"
"117","Christiansø","1","55.320451","15.189247"
"118","Bornholm","1","55.143205","14.922572"
"119","Nakskov","1","54.830498","11.149352"
"120","Fiil Sø","1","56.2495236","8.4184746"
"121","Silkeborgsøerne","1","56.169453","9.5495141"
"122","Provence","15","43.449133","5.92428"
"123","Lille Vildmose","1","56.8881187438965","10.2213554382324"
"124","kelleris hegn","1","55.987374","12.51317"
"125","skansebakken","1","56.447974","9.403163"
"126","Skodsborg","1","55.821468","12.572848"
"127","gerlev","1","55.353488","11.33742"
"128","krogerup hegn","1","55.9735879","12.5348184"
"129","hillerød","1","55.928574","12.306391"
"130","Ørestaden","1","55.6555232","12.5915818"
"131","Langerød","1","55.984844","12.456933"
"132","Vestre Kirkegård","1","55.658115","12.529653"
"133","Rådvad","1","55.8047701","12.5593579"
"134","Lolland","1","54.777256","11.41569"
"135","rostock","16","54.09244","12.128629"
"136","Gryden","1","55.945378","11.698654"
"137","Puttgarden","16","54.499184","11.212931"
"138","MVP","16","54.546654","11.270237"
"139","Slagelse","1","55.40612","11.352542"
"140","Tines have","1","55.840337","12.42878"
"141","Lakolk","1","55.137902","8.492166"
"142","Sneum Engsø","1","55.4370957","8.5998101"
"143","Mandø","1","55.280981","8.555214"
"144","Vest Stadil Fjord","1","56.1811652","8.1469149"
"145","Skjern enge","1","55.983268737793","8.7058801651001"
"146","Forum (Esbjerg)","1","55.557012","8.475831"
"147","Kammerslusen","1","55.339946","8.676049"
"148","Vildslev Enge","1","55.3947646","8.712519"
"149","Vestamager","1","55.6398086547852","12.5682563781738"
"150","Verona","4","45.450819","10.974897"
"151","Venezia","4","45.42422","12.381833"
"152","Tystrup/Bavelse","1","55.3519897460938","11.6001892089844"
"153","Hirtshals","1","57.590803","9.964974"
"154","Nyrup Hegn","1","56.012101","12.531076"
"155","mosede havn","1","55.5664367675781","12.2848749160767"
"156","Staunings Ø","1","55.511614","12.216269"
"157","falster","1","54.763701","11.95878"
"158","Hornbæk havn","1","56.0930366516113","12.4577169418335"
"159","Julebæk","1","56.0596469","12.574824"
"160","Kastrup","1","55.634014","12.629199"
"161","Frøstjernevej","1","55.238321","11.783441"
"162","Nærum","1","55.81769","12.536291"
"163","Øresund","1","55.7866129","12.7173608"
"164","Portugal","17","41.3794188","-8.759869"
"165","esbjerg-tur","1","55.466489","8.452075"
"166","krogenberg hegn","1","56.008288","12.487073"
"167","Polenstur","18","52.8359438","23.757029"
"168","gedser","1","54.576138","11.932216"
"169","højstrup","1","56.0516242980957","12.5901689529419"
"170","rørvig","1","55.945299","11.761388"
"171","hov vig","1","55.9212203","11.7167365"
"172","Central Park","10","40.776924","-73.969183"
"173","Rügen","16","54.4702556","13.4037469"
"174","cykel gæ-ni-lang-hum-gæ","1","55.961879","12.530546"
"175","Mørdrup","1","56.0012931823731","12.5378637313843"
"176","Dragstrup","1","56.824735","8.670709"
"177","Hørhave","1","55.349967956543","11.5897760391235"
"178","Marokko","19","30.1184765","-8.2715446"
"179","Kyrgysztan","20","41.4254934","76.0057795"
"180","Datjaen","1","55.9962","11.9676"
"181","Liseleje","1","56.012243","11.964819"
"182","Ulvshale","1","55.045743","12.258469"
"183","Paris","15","48.856687","2.351482"
"184","Omø-tur","1","55.158664","11.149494"
"185","USA","10","39.12312","-101.798626"
"186","Canada","21","43.255205","-79.868202"
"187","Gambia","22","13.313887","-16.6295461"
"188","Amager Fælled","1","55.6516532897949","12.5774927139282"
"189","gå ni-hum-gæ","1","55.961879","12.530546"
"190","Djursland","1","56.2830964","10.4800518"
"191","Dyrehaven","1","55.794819","12.566273"
"192","Syrien","23","34.5560154","38.2809745"
"193","Jonstrup","1","55.572708","11.665405"
"194","Tur 1 - Gæ-Hum-Gæ","1","55.961879","12.530546"
"195","Ullerup Skov","1","55.9653358459473","11.887336730957"
"196","hundested havn","1","55.9656829833984","11.8476037979126"
"197","Arresø","1","55.9771067","12.1313252"
"198","Italien","4","41.61388","15.899672"
"199","Oman","24","20.7981339","57.1817084"
"200","Melby Overdrev","1","56.0197424","11.9916208"
"201","nytårstur 1","1","55.9312438964844","12.3255233764648"
"202","køge skov","1","55.391844","12.350459"
"203","Kløvermarken","1","55.9946784973145","12.5472555160522"
"204","Nymånedalen","1","55.995883","11.988622"
"205","Tranetur","3","58.284526","13.487289"
"206","Extremadura","12","39.761559","-5.81254"
"207","Teglstrup hegn","1","56.053112","12.562156"
"208","Haslev","1","55.327112","11.95673"
"209","Fyn","1","55.324597","10.347213"
"210","christianhavn","1","55.6733894348145","12.5926933288574"
"211","Ungarn","25","47.5957526","20.2897721"
"212","Ethiopien","26","9.1861512","38.9723814"
"213","Rieckelsbühler Kog","16","54.8835648","8.6998675"
"214","Halsnæs Kommune","1","55.954805","11.897659"
"215","mønstur","1","54.969788","12.424938"
"216","Oregon","10","44.296753","-123.408275"
"217","Berlin","16","52.5170365","13.3888599"
"218","Saltbæk Vig","1","55.7244148254395","11.1764307022095"
"219","Vallensbæk","1","55.632181","12.371198"
"220","Arboretet, Hørsholm","1","55.883299","12.500011"
"221","HCØ","1","55.7035064697266","12.5622911453247"
"222","Egypten","27","25.6952963","32.687619"
"223","Vedbæk","1","55.854091","12.565312"
"224","Frederiksberg Have","1","55.674711","12.525023"
"225","Thailand","28","13.4086616","100.0004939"
"226","Laos","29","19.6116066","102.2502355"
"227","Cambodja","30","13.3617562","103.859032"
"228","Fynshovedtur","1","55.6087579","10.6240794"
"229","Sydsjælland","1","54.996889","12.007096"
"230","Nordtyskland","16","54.796954","8.8849358"
"231","Jordan","31","30.1999999","35.7333329"
"232","melby","1","55.985767364502","11.9763040542603"
"233","London","32","51.5073218","-0.1276475"
"234","Hyllingebjerg","1","56.003583","11.94978"
"235","Nordfyn","1","55.514014","10.238037"
"236","Lolland Falster","1","54.7783279418945","11.8597450256348"
"237","Røsnæs","1","55.7381591796875","10.9123916625977"
"238","Stevns","1","55.255478","12.382478"
"239","Langeland","1","54.94323","10.777467"
"240","Strødam","1","55.953778","12.250893"
"241","Sydhavnen","1","55.65523","12.561982"
"242","Sønderjylland","1","54.9316993086183","9.0242176006836"
"243","Vrøj","1","55.721672","11.22923"
"244","Tarifa","12","36.035202","-5.6038"
"245","Nordøst indien","33","25.8989838","91.8812907"
"246","Goa","33","15.3004543","74.0855134"
"247","Sri Lanka","34","6.8124017","80.3354764"
"248","Georgien","35","42.0844709","44.695937"
"249","Ørby","1","56.117882","10.504764"
"250","Zakopane ","18","49.2969446","19.9506589"
"251","helsingør camping","1","56.0433311462402","12.6049003601074"
"252","Assens","1","55.2657981","9.9002172"
"254","chr torv","1","55.6720581054688","12.5909099578857"
"255","volden","1","55.6725463867187","12.5978212356567"
"256","ugleskoven","1","39.78373","-100.445882"
"257","NH","1","55.994655","12.547222"
"258","frederiksværk","1","55.973704","12.021056"
"259","torup","1","56.953543","13.074462"
"260","esrum ","1","56.051243","12.378837"
"261","lynæs","1","55.944637","11.863106"
"262","Fredensborg område","1","55.974","12.405062"
"263","amager sydsjælland møn","1","55.624376","12.603853"
"264","frankrig","15","47.445814","3.515385"
"265","søerne","1","55.6974333","12.5794268"
"266","arken","1","55.6062332","12.3874039"
"267","øst jylland tur","1","55.9063259","9.7108063"
"268","brede","1","55.7943534851074","12.5053863525391"
"269","Nordsjælland og København","1","55.9312438964844","12.3255233764648"
"270","Røsnæs tur","1","55.7381591796875","10.9123916625977"
"271","hareskov","1","55.7652202","12.4079689"
"272","1 januar 2014","1","55.9312438964844","12.3255233764648"
