"id","turId","artId","antal"
"1","1","1003","1"
"2","1","924","1"
"3","1","457","1"
"4","1","435","1"
"5","1","430","1"
"6","2","431","1"
"7","1","559","1"
"8","1","538","1"
"9","1","1150","1"
"10","1","1272","1"
"11","1","1343","1"
"12","1","1071","1"
"13","1","293","1"
"14","1","390","1"
"15","1","1601","1"
"16","1","1669","1"
"17","2","1737","1"
"18","1","1690","1"
"19","2","1875","1"
"20","1","1943","1"
"21","1","1920","1"
"22","1","1931","1"
"23","3","1905","1"
"24","1","1905","1"
"25","1","1975","1"
"26","1","2073","1"
"27","1","2997","1"
"28","1","3492","1"
"29","1","4497","1"
"30","4","7736","1"
"31","1","7736","1"
"32","2","7726","1"
"33","1","7571","1"
"34","1","7536","1"
"35","1","7595","1"
"36","2","10413","1"
"37","2","10397","1"
"38","1","10370","1"
"39","4","6854","1"
"40","2","8163","1"
"41","1","8206","1"
"42","1","8220","1"
"43","1","8359","1"
"44","2","8252","1"
"45","1","8252","1"
"46","1","8253","1"
"47","2","9423","1"
"48","1","9312","1"
"49","1","7477","1"
"50","1","7488","1"
"51","1","10952","1"
"52","1","10994","1"
"53","2","10999","1"
"54","1","10555","1"
"55","2","10444","1"
"56","2","10616","6"
"57","2","10614","1"
"58","1","9991","1"
"59","1","9969","1"
"60","1","9125","1"
"61","1","7221","1"
"62","1","7288","1"
"63","1","7301","1"
"64","1","7271","1"
"65","5","765","1"
"66","5","590","1"
"67","5","1351","1"
"68","5","1381","1"
"69","5","1383","1"
"70","5","1367","1"
"71","5","1101","1"
"72","5","1087","1"
"73","5","240","1"
"74","5","239","1"
"75","5","236","1"
"76","5","1652","1"
"77","5","1887","1"
"78","5","2016","1"
"79","5","1948","1"
"80","5","1960","1"
"81","5","1995","1"
"82","5","2065","1"
"83","5","3196","1"
"84","5","3495","1"
"85","5","3503","1"
"86","5","3979","1"
"87","5","4138","1"
"88","5","4601","1"
"89","5","4495","1"
"90","5","4509","1"
"91","5","7707","1"
"92","5","7697","1"
"93","5","7728","1"
"94","5","7590","1"
"95","5","7602","1"
"96","5","7592","1"
"97","5","10388","1"
"98","5","6867","1"
"99","5","8197","1"
"100","5","8116","1"
"101","5","7795","1"
"102","5","7820","1"
"103","5","7808","1"
"104","5","8215","1"
"105","5","8366","1"
"106","5","8360","1"
"107","5","8260","1"
"108","5","9598","1"
"109","5","9596","1"
"110","5","9558","1"
"111","5","9546","1"
"112","5","9556","1"
"113","5","9559","1"
"114","5","9554","1"
"115","5","9562","1"
"116","5","9542","1"
"117","5","9568","1"
"118","5","9566","1"
"119","5","9567","1"
"120","5","9576","1"
"121","5","9435","1"
"122","5","9476","1"
"123","5","8514","1"
"124","5","8513","1"
"125","5","7438","1"
"126","5","8993","1"
"127","5","10964","1"
"128","5","10963","1"
"129","5","10976","1"
"130","5","10962","1"
"131","5","10974","1"
"132","5","10577","1"
"133","5","10445","1"
"134","5","10443","1"
"135","5","9972","1"
"136","5","9977","1"
"137","5","9995","1"
"138","5","7268","1"
"139","5","7269","1"
"140","5","7315","1"
"141","5","7319","1"
"142","6","1003","1"
"143","7","1003","1"
"144","8","924","1"
"145","9","457","1"
"146","7","521","1"
"147","7","565","1"
"148","7","559","1"
"149","7","591","1"
"150","7","609","1"
"151","10","1110","1"
